pid,eid,tag,probe_name,subject,date,session_number,lab,n_good_units,n_trials,n_included_trials,n_channels,overlaps_bwm_ephys,has_local_spike_shard,source_endpoint,alyx_resource,query,source_created_at_utc,source_artifact,bwm_ephys_dataset_version,bwm_ephys_source_freeze,bwm_ephys_good_unit_rule
31f3e083-a324-4b88-b0a4-7788ec37b191,61e11a11-ab65-48fb-ae08-3cb80662e5d6,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
50cdbc2b-4ecd-4044-955d-9654505f7f98,64365e73-47f5-4404-b01a-c5f4ce865c98,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
f68d9f26-ac40-4c67-9cbf-9ad1851292f7,687017d4-c9fc-458f-a7d5-0979fe1a7470,RepeatedSite,probe00,UCLA052,2022-07-12,1.0,churchlandlab_ucla,93.0,436.0,269.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
730770d6-617a-4ada-95db-a48521befda5,6899a67d-2e53-4215-a52a-c7021b5da5d4,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,RepeatedSite,probe00,PL050,2023-06-05,1.0,hausserlab,145.0,874.0,618.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
3fded122-619c-4e65-aadd-d5420978d167,6c6b0d06-6039-4525-a74b-58cfaa1d3a60,RepeatedSite,probe00,NR_0027,2022-08-19,1.0,steinmetzlab,77.0,1006.0,667.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,RepeatedSite,probe01,SWC_043,2020-09-16,2.0,hoferlab,162.0,551.0,411.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,71e55bfe-5a3a-4cba-bdc7-f085140d798e,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,RepeatedSite,probe00,ZFM-02369,2021-05-19,1.0,mainenlab,131.0,733.0,377.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
0851db85-2889-4070-ac18-a40e8ebd96ba,73918ae1-e4fd-4c18-b132-00cb555b1ad2,RepeatedSite,probe01,ibl_witten_27,2021-01-21,1.0,wittenlab,33.0,625.0,467.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
